데이터 시간,시리얼번호,미세먼지 (㎍/㎥),초미세먼지 (㎍/㎥),이산화탄소 (ppm),휘발성유기화합물 (ppb),온도(℃),습도(%),소음(dB),통합실내지수
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-03-20 16:59,ICW0W2100497,165,69,560,48,24,16,54,68
2024-03-20 17:02,ICW0W2100491,6,3,1095,60000,23.2,20,66,64
2024-03-20 16:59,ICW0W2100485,14,5,1195,1,23.1,28,81,88
2024-03-20 16:59,ICW0W2100481,27,10,1160,452,21.9,31,70,84
2024-03-20 16:59,ICW0W2100479,20,7,862,125,24.7,23,58,91
2024-03-20 16:59,ICW0W2100489,6,2,80,4,23.8,21,62,100
2024-03-20 16:59,ICW0W2100467,10,4,,6000,22.4,17,86,59
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-03-20 16:59,ICW0W2100462,8,2,14,6000,24,23,59,71
2024-03-20 16:59,ICW0W2100460,8,2,1316,0,21,27,74,86
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-03-20 16:59,ICW0W2100455,14,5,1455,0,22.5,25,77,82
2024-03-20 16:09,ICW0W2000512,24,9,601,1217,33.7,15,66,64
2024-03-20 16:59,ICW0W2001000,16,11,390,208,18.7,27,61,95
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-03-20 16:59,ICW0W2000951,27,8,314,245,20.4,21,66,95
2024-03-20 16:59,ICW0W2000956,20,12,1004,6000,20.2,32,60,70
2024-03-20 16:59,ICW0W2000996,21,20,596,3369,21.7,22,55,71
2024-03-20 16:59,ICW0W2000991,14,10,483,21,20.8,23,63,97
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
2024-03-20 16:59,ICW0W2000983,7,5,198,62,13.7,28,61,90
2024-03-20 16:59,ICW0W2000955,17,11,626,60,17.8,22,70,93
2024-03-20 16:59,ICW0W2000987,13,8,863,224,23.5,25,60,93
2024-03-20 16:59,ICW0W2000978,22,14,588,266,21.5,22,50,92
2024-03-20 16:59,ICW0W2000922,9,3,393,1023,24.4,24,64,77
2024-03-20 16:59,ICW0W2000926,4,1,66,1802,27.9,21,52,73
2024-03-20 16:59,ICW0W2000977,16,10,800,2290,20.7,25,78,74
2024-03-20 16:59,ICW0W2000933,23,7,373,31,21.6,19,52,95
2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-03-20 16:59,ICW0W2000973,9,6,661,95,20.7,25,51,97
2024-03-20 16:59,ICW0W2000972,246,172,595,622,21.8,17,52,52
2024-03-20 16:59,ICW0W2000968,12,7,1026,245,26.6,18,74,84
2024-03-20 16:59,ICW0W2000944,4,3,639,6000,21.6,27,53,68
2024-03-20 16:59,ICW0W2000964,22,15,419,40,15.9,22,58,89
2024-03-20 16:59,ICW0W2000924,63,22,612,26,22.4,21,57,92
2024-03-20 16:59,ICW0W2000505,12,4,1101,250,21.3,26,73,88
2024-03-20 16:59,V01T1623100,125,41,1139,221,22.9,23,36,74
2024-03-20 16:59,V01T1623130,1,1,553,348,25.5,15,30,89
2024-03-20 16:59,V01T1623129,1,1,977,311,26.2,20,33,91
2024-03-20 16:59,V01T1623123,17,8,804,288,24.4,14,43,86
2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
2024-03-20 16:58,V01T1623118,1,1,493,189,22.6,15,34,95
2024-03-20 16:58,V01T1623117,76,31,1900,439,24.1,30,46,70
2024-03-20 16:59,V01T1623116,26,12,577,187,27.7,16,36,83
2024-03-20 16:59,V01T1623113,19,9,426,140,25.9,8,31,90
2024-03-20 16:59,V01T1623112,34,16,990,399,26.4,23,44,84
2024-03-20 16:59,V01T1623109,41,18,2362,179,10.9,29,41,64
2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
2024-03-20 16:59,V01T1623105,33,15,556,142,20.9,15,34,90
2024-03-20 16:59,V01T1623102,1,1,1408,570,27.7,17,40,71
2024-03-20 16:59,ICW0W2000503,9,3,694,470,25,24,48,86
2024-03-20 16:59,ICW0W2000455,12,4,127,48,19.8,29,61,100
2024-03-20 16:59,ICW0W2000447,14,5,667,227,20.3,25,65,94
2024-03-20 16:59,ICW0W2000459,16,5,685,13,24.2,20,64,94
2024-03-20 16:59,ICW0W2000507,7,4,953,479,26.5,23,55,85
2024-03-20 16:59,ICW0W2000501,10,3,912,2094,22.2,25,60,75
2024-03-20 16:59,ICW0W2000500,8,4,2500,169,25,18,63,72
2024-03-20 16:59,ICW0W2000380,27,9,579,25,15.9,28,70,89
2024-03-20 16:59,ICW0W2000275,20,7,516,15,16.3,28,51,94
2024-03-20 16:59,ICW0W2000388,26,7,670,209,14.7,27,48,86
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
2024-03-20 16:59,ICW0W2000382,4,1,500,36,22.2,26,65,100
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-03-20 16:59,ICW0W2000287,9,3,835,121,25.4,20,55,93
2024-03-20 16:59,ICW0W2000398,20,7,449,12,24.7,16,70,92
2024-03-20 16:59,ICW0W2000974,6,4,991,644,19.1,28,47,85
2024-03-20 16:59,ICW0W2000248,12,3,2190,147,24.4,21,66,75
2024-03-20 16:59,ICW0W2000262,20,6,479,15,19.6,27,60,98
2024-03-20 16:58,ICW0W2100488,23,8,491,159,23.2,15,75,92
2024-03-20 16:58,ICW0W2100506,16,6,847,36,28.6,14,69,86
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-20 16:58,ICW0W2100582,26,10,621,1510,22.5,20,59,76
2024-03-20 16:58,ICW0W2100579,10,4,0,747,26.8,11,61,81
2024-03-20 16:59,ICW0W2100562,22,12,613,918,22.8,15,58,76
2024-03-21 10:36,ICW0W2100488,25,9,462,119,21,17,71,93
2024-03-21 10:36,ICW0W2100506,0,0,351,19,11.4,31,59,91
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-21 10:36,ICW0W2100582,27,10,594,58,22.2,19,64,92
2024-03-21 10:36,ICW0W2100579,9,3,0,259,24.7,13,61,92
2024-03-21 10:37,ICW0W2100562,33,18,670,509,22.1,16,62,82
2024-03-21 10:36,ICW0W2100560,11,4,941,6000,24.3,20,56,64
2024-03-21 10:36,ICW0W2100549,19,7,613,194,16.2,26,67,92
2024-03-21 10:36,ICW0W2100509,16,6,347,6000,22.1,23,79,68
2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-03-21 10:36,ICW0W2100497,238,99,1407,50,22.6,24,78,55
2024-03-21 10:39,ICW0W2100491,12,6,1300,59746,25.1,23,70,57
2024-03-21 10:36,ICW0W2100485,20,7,1172,0,23.5,27,74,88
2024-03-21 10:36,ICW0W2100481,10,3,1281,6000,22.5,31,72,67
2024-03-21 10:37,ICW0W2100479,44,17,879,503,25,22,64,81
2024-03-21 10:36,ICW0W2100489,6,2,318,4,24.1,24,85,98
2024-03-21 10:36,ICW0W2100467,29,11,,0,21.4,24,86,97
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-03-21 10:36,ICW0W2100462,92,25,46,1446,22.8,24,65,76
2024-03-21 10:36,ICW0W2100460,17,6,737,0,21.8,30,71,97
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-03-21 10:36,ICW0W2100455,26,9,1258,6000,25.8,24,63,63
2024-03-21 10:36,ICW0W2000512,27,10,596,6000,21.9,23,58,66
2024-03-21 10:36,ICW0W2001000,23,14,155,142,17.3,26,78,93
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-03-21 10:36,ICW0W2000951,32,10,341,30,20.8,23,61,96
2024-03-21 10:36,ICW0W2000956,34,18,976,403,18.3,35,55,90
2024-03-21 10:36,ICW0W2000996,15,14,967,1633,21.4,26,59,75
2024-03-21 10:36,ICW0W2000991,16,11,819,127,19.3,22,66,94
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
2024-03-21 10:36,ICW0W2000983,6,4,190,78,11.6,30,61,90
2024-03-21 10:36,ICW0W2000955,17,11,616,341,18.7,22,65,92
2024-03-21 10:36,ICW0W2000987,17,10,954,131,22,26,61,93
2024-03-21 10:36,ICW0W2000978,27,17,590,200,16.8,25,43,89
2024-03-21 10:36,ICW0W2000922,21,6,474,36,21.6,28,66,97
2024-03-21 10:36,ICW0W2000926,14,4,412,1777,28,23,57,71
2024-03-21 10:36,ICW0W2000977,24,15,582,638,19.3,24,57,84
2024-03-21 10:36,ICW0W2000933,12,4,667,247,21.9,23,76,95
2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-03-21 10:36,ICW0W2000973,23,13,1008,139,20.4,30,70,90
2024-03-21 10:36,ICW0W2000972,295,206,1087,1084,23.6,22,53,50
2024-03-21 10:36,ICW0W2000968,10,7,863,576,25.9,19,75,80
2024-03-21 10:36,ICW0W2000944,21,13,682,52,18.7,28,78,95
2024-03-21 10:36,ICW0W2000964,32,21,571,105,15.4,24,71,85
2024-03-21 10:36,ICW0W2000924,22,6,733,117,21.4,24,76,95
2024-03-21 10:36,ICW0W2000505,16,6,489,212,18.9,24,60,95
2024-03-21 10:36,V01T1623100,18,9,352,160,21.9,19,30,93
2024-03-21 10:36,V01T1623130,4,2,542,178,26.2,18,32,91
2024-03-21 10:36,V01T1623129,1,1,583,181,24.1,19,43,91
